WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.5008825476812 48.2302376432209,16.500967559801 48.2303650825652,16.5015129389857 48.2308779012857,16.5021330836033 48.2313154497946,16.5026966659525 48.2316528604061,16.5034663371853 48.2319398611539,16.5042733529474 48.2321766947977,16.5050987969918 48.2323132792246,16.5060554099789 48.2324246116307,16.5070865283393 48.2323855033252,16.5083798466081 48.2322583043138,16.5097290687976 48.2320307916852,16.5107972046088 48.2318537960977,16.5111295360832 48.2317327092187)",1963664,862.07,G,
"LINESTRING (16.4574727914605 48.1412517202174,16.4577796343978 48.141868710395,16.4585481068952 48.1420963258866,16.4618531376267 48.1444532100261,16.4619392128599 48.1447576908763,16.460860161113 48.1455012664062,16.4606293707395 48.1456323883092,16.4603099800157 48.145882580825,16.4602038298179 48.146096848877,16.4603290776144 48.1464298414419,16.4608295046159 48.1475238646784,16.4613112199431 48.1482252892211,16.4616429849813 48.1482307272224)",1963665,1004.12,G,
"LINESTRING (16.4831663755317 48.2455206257074,16.4807764109371 48.2428493483904,16.4788756471171 48.2408354659028)",1963666,610.76,E,
"LINESTRING (16.4234508285729 48.1691989464995,16.422820082507 48.1692369240756)",1963667,47.11,E,
"LINESTRING (16.3034294991094 48.1607290162765,16.3030994234647 48.160846546092,16.3024092210487 48.1609433698226)",1963668,80.28,G,
"LINESTRING (16.2681940518142 48.1430296786065,16.2667137175174 48.142313738459,16.2648145459944 48.1416060501908,16.2637235331922 48.141746672959,16.2623853922742 48.1424523467375,16.261427420625 48.1427983109971,16.2610841323992 48.1425000261127,16.2605562687907 48.1420036938712,16.2604166939177 48.1412028731574,16.2601392977627 48.1384236922028,16.2578175689148 48.1380924210342,16.2577483804269 48.1373151962039,16.2576436177999 48.1367970062061,16.2578717806745 48.1363315679153)",1963669,1473.01,G,
"LINESTRING (16.3053349301752 48.1571411907749,16.3055410582508 48.1572796059482,16.3084971566052 48.1594737743386)",1963670,350.2,E,
"LINESTRING (16.3832685634716 48.2875438437153,16.3831329000506 48.2873824641826)",1963671,20.58,E,
"LINESTRING (16.4311651654594 48.1863534037693,16.4308242432945 48.1857810773044)",1963672,68.5,G,
"LINESTRING (16.5088896221535 48.2773740093501,16.5069206511339 48.2774924723584,16.5059812582545 48.2774593633614,16.5051398209127 48.2774034949801,16.5036999025818 48.2774627102229,16.5014481986648 48.2778181242829,16.5000462579686 48.2774394741418)",1963673,670.4,G,
